YUNUS AAAAAAAAAAAAA GET /dashboard 304  - 2581.137 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /dashboard 304  - 1193.656 ms {} ::1
YUNUS AAAAAAAAAAAAA POST /ajax/dyndata 200 87 - 27.893 ms {"kdata":{"where":{"id":"7"},"hash":"3e3a25651195ea03485c2871f4e8cf25"}} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 200 31460 - 736.899 ms {} ::1
YUNUS AAAAAAAAAAAAA POST /ajax/duyuru 404 21757 - 160.695 ms {"kdata":{"duyuruBaslik":"","duyuruAciklama":"","duyuruGidecekIdler":[]},"ndata":{"id":null,"method":"create"}} ::1
YUNUS AAAAAAAAAAAAA POST /ajax/duyuru 404 21757 - 156.794 ms {"kdata":{"duyuruBaslik":"","duyuruAciklama":"","duyuruGidecekIdler":[]},"ndata":{"id":null,"method":"create"}} ::1
YUNUS AAAAAAAAAAAAA POST /ajax/dyndata 200 87 - 30.713 ms {"kdata":{"where":{"id":"7"},"hash":"a78dbe1541ad25d4f0869b84111cc0e2"}} ::1
YUNUS AAAAAAAAAAAAA POST /ajax/duyuru 404 21757 - 194.159 ms {"kdata":{"duyuruBaslik":"","duyuruAciklama":"","duyuruGidecekIdler":["40","40"]},"ndata":{"id":null,"method":"create"}} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 200 31459 - 394.769 ms {} ::1
YUNUS AAAAAAAAAAAAA POST /ajax/dyndata 200 87 - 21.925 ms {"kdata":{"where":{"id":"7"},"hash":"c6c1cabff4e284601bf4fbb3e9424253"}} ::1
YUNUS AAAAAAAAAAAAA POST /ajax/duyuru 404 21756 - 141.032 ms {"kdata":{"duyuruBaslik":"","duyuruAciklama":"","duyuruGidecekIdler":[null,null]},"ndata":{"id":null,"method":"create"}} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 200 31513 - 746.509 ms {} ::1
YUNUS AAAAAAAAAAAAA POST /ajax/dyndata 200 87 - 42.460 ms {"kdata":{"where":{"id":"7"},"hash":"11f50ce08bfb2c3a72dc35993975f424"}} ::1
YUNUS AAAAAAAAAAAAA POST /ajax/duyuru 404 21810 - 171.759 ms {"kdata":{"duyuruBaslik":"","duyuruAciklama":"","duyuruGidecekIdler":["24","40"]},"ndata":{"id":null,"method":"create"}} ::1
YUNUS AAAAAAAAAAAAA POST /ajax/duyuru 404 21810 - 158.972 ms {"kdata":{"duyuruBaslik":"","duyuruAciklama":"<p>asdads<span style=\"color: rgb(209, 72, 65);\">zxczczxzx</span><span style=\"color: rgb(147, 101, 184);\">qweqeqw</span></p>","duyuruGidecekIdler":["24","40"]},"ndata":{"id":null,"method":"create"}} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 200 31513 - 2578.200 ms {} ::1
YUNUS AAAAAAAAAAAAA POST /ajax/dyndata 200 87 - 45.213 ms {"kdata":{"where":{"id":"7"},"hash":"09b7a1db68ed8819f1dd21566b857544"}} ::1
YUNUS AAAAAAAAAAAAA POST /ajax/duyuru 200 41 - 19.767 ms {"kdata":{"duyuruBaslik":"test","duyuruAciklama":"<p>sa</p>","duyuruGidecekIdler":["24","40"]},"ndata":{"id":null,"method":"create"}} ::1
YUNUS AAAAAAAAAAAAA POST /ajax/duyuru 200 41 - 54976.867 ms {"kdata":{"duyuruBaslik":"test","duyuruAciklama":"<p>sa</p>","duyuruGidecekIdler":["24","40"]},"ndata":{"id":null,"method":"create"}} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 200 31513 - 2355.779 ms {} ::1
YUNUS AAAAAAAAAAAAA POST /ajax/dyndata 200 87 - 38.970 ms {"kdata":{"where":{"id":"7"},"hash":"dbf9deaabfe88605ce60e2aba9310e9f"}} ::1
YUNUS AAAAAAAAAAAAA POST /ajax/duyuru 200 45 - 34.573 ms {"kdata":{"duyuruBaslik":"test","duyuruAciklama":"<p>sa</p>","duyuruGidecekIdler":"[\"24\",\"40\"]"},"ndata":{"id":null,"method":"create"}} ::1
YUNUS AAAAAAAAAAAAA GET /dashboard 200 40130 - 563.111 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 200 31513 - 2787.213 ms {} ::1
YUNUS AAAAAAAAAAAAA POST /ajax/duyuru 200 58 - 70.933 ms {"kdata":{"duyuruBaslik":"asdad","duyuruAciklama":"<p>asdads</p>","duyuruGidecekIdler":["35","39","40"]},"ndata":{"id":null,"method":"create"}} ::1
YUNUS AAAAAAAAAAAAA POST /ajax/duyuru 200 45 - 63.465 ms {"kdata":{"duyuruBaslik":"asdad","duyuruAciklama":"<p>asdads</p>","duyuruGidecekIdler":"[\"35\",\"39\",\"40\"]"},"ndata":{"id":null,"method":"create"}} ::1
YUNUS AAAAAAAAAAAAA GET /dashboard 304  - 2273.658 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 200 31513 - 434.523 ms {} ::1
